quartos,banheiros,sala,lote,pavimento,beiramar,vista,condicao,nivel,a_acima,porao,ano,resultado
1,1,1,1,1,0,1,0,1,1,1,0,1
1,1,1,0,1,0,0,0,1,1,0,1,1
0,1,0,0,1,0,0,0,1,0,0,1,2
0,0,0,0,1,0,0,1,0,0,0,0,2
1,1,1,1,1,0,1,0,1,1,1,1,1
0,0,0,1,0,0,1,0,1,0,0,1,0
1,1,1,0,1,0,0,1,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,2
0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,1,0,0,0,0,0,2
1,1,1,0,1,0,0,1,1,1,1,1,0
0,1,1,1,1,0,1,1,1,1,1,0,0
1,1,0,0,1,0,0,1,0,0,0,0,0
0,1,0,0,1,0,0,1,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,2
1,1,0,0,1,0,0,0,1,1,0,0,0
0,1,0,0,0,0,0,0,1,0,1,0,0
1,1,1,0,1,0,0,1,1,1,1,0,1
1,1,1,1,1,0,1,1,1,1,1,0,2
1,1,0,0,0,0,0,1,0,0,1,0,1
0,1,0,0,0,0,0,1,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,2
1,1,1,1,0,0,1,0,1,1,1,1,2
1,1,1,0,1,0,0,1,1,1,1,0,2
1,1,0,1,1,0,1,0,0,1,0,0,1
0,1,1,0,1,0,0,0,1,1,1,1,0
0,1,0,1,0,0,1,1,0,0,1,0,0
1,1,1,0,1,0,0,1,1,1,1,0,1
0,1,0,0,1,0,0,1,1,0,0,0,2
0,1,0,0,1,0,0,1,0,0,0,0,1
0,1,0,0,0,0,0,0,0,0,1,0,1
0,1,0,1,1,0,1,0,1,0,0,0,0
0,1,0,0,0,0,0,1,0,0,0,0,0
0,1,0,1,1,0,1,0,0,0,0,0,0
1,1,1,0,1,0,0,0,1,1,1,1,2
0,1,1,1,1,0,1,1,0,1,0,0,1
1,1,1,0,1,0,0,1,1,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,0,1,0,0,1,0,1,0,0,1,0
0,1,0,0,1,0,0,1,0,0,0,0,0
0,1,0,0,1,0,0,0,1,1,0,1,0
1,1,1,0,1,0,0,0,1,1,1,0,0
1,1,1,1,0,0,1,0,1,1,1,1,0
0,0,0,0,1,0,0,1,1,0,0,0,0
1,1,1,0,1,0,0,1,1,1,1,0,0
1,1,0,0,1,0,0,0,0,0,1,1,1
1,1,0,0,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1,1,0,0,0,0
1,0,0,0,0,0,0,1,0,0,0,0,2
0,0,0,1,0,0,1,0,0,0,0,0,1
1,1,1,1,0,0,1,1,1,0,1,1,0
1,1,0,1,1,0,1,1,0,0,0,1,2
1,1,1,1,1,0,1,0,1,1,0,0,0
1,1,1,0,1,0,0,1,1,1,1,0,0
0,0,0,0,0,0,0,0,1,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,0,1,0,0,0,0,1
0,1,0,0,1,0,0,0,1,0,0,1,0
1,1,0,1,1,0,1,1,0,0,1,1,1
0,1,1,1,0,0,1,1,1,1,1,1,0
1,0,0,0,1,0,0,0,0,0,0,0,0
0,1,1,0,1,0,0,0,1,1,0,0,1
1,1,1,0,1,0,0,0,1,1,1,1,1
1,1,1,1,1,0,1,0,1,1,0,0,0
1,1,1,0,1,0,0,0,0,1,0,0,0
0,1,0,0,1,0,0,0,1,0,0,1,0
0,1,0,0,0,0,0,1,0,0,1,0,0
1,1,1,0,1,0,0,1,1,1,1,0,0
1,1,1,1,1,1,1,1,1,1,1,0,2
1,1,1,0,1,0,0,0,1,1,1,1,1
0,1,0,0,1,0,0,0,1,0,0,1,0
1,1,0,0,1,0,0,0,0,0,0,0,1
1,1,1,1,1,0,1,1,1,1,1,1,1
1,1,0,0,1,0,0,0,1,0,0,0,2
1,1,1,1,1,0,1,0,1,1,0,1,2
1,1,0,0,0,0,0,0,1,0,1,0,0
0,1,0,1,1,0,1,0,1,0,0,0,2
1,1,0,0,1,0,0,1,0,1,0,0,1
0,0,0,0,1,0,0,0,0,0,0,0,0
1,1,1,1,1,0,1,0,1,1,1,0,2
0,1,0,0,0,0,0,1,0,0,1,0,0
0,1,1,0,1,0,0,0,1,0,1,0,0
0,1,0,0,1,0,0,1,0,0,1,0,1
1,1,1,0,1,0,0,1,0,1,1,0,1
0,1,0,0,1,0,0,1,0,0,0,0,0
0,1,0,0,1,0,0,0,1,0,0,1,0
1,1,1,1,1,0,1,1,1,1,1,0,0
0,0,0,1,0,0,1,1,0,0,1,0,0
0,1,1,1,0,0,1,0,1,1,0,1,0
0,1,0,1,0,0,1,0,0,0,1,1,1
0,1,0,0,0,0,0,0,0,0,1,1,1
0,0,0,1,0,0,1,0,0,0,1,1,0
1,1,1,0,1,0,0,1,0,0,1,0,1
1,1,0,0,1,0,0,0,1,1,0,0,0
0,1,1,0,1,0,0,1,1,1,0,0,2
0,1,1,0,1,0,0,1,1,1,1,1,0
0,1,0,0,1,0,0,0,1,0,0,1,0
0,1,0,1,0,0,1,1,0,0,1,0,0
1,1,1,0,1,0,0,0,0,0,1,0,1
1,0,0,0,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1,0,0,0,0,2
1,1,1,1,1,0,1,0,1,1,0,0,0
1,1,1,1,1,0,1,0,1,1,1,1,2
0,1,1,0,1,0,0,0,1,1,1,0,0
0,1,1,0,1,0,0,0,1,1,0,1,0
1,1,0,0,0,0,0,1,0,0,1,0,1
0,1,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,2
1,1,1,0,1,0,0,1,0,1,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,2
0,1,0,1,1,0,1,1,1,1,0,0,2
1,1,1,0,1,0,0,0,1,1,0,0,0
0,1,0,0,1,0,0,0,0,0,0,1,1
0,1,0,0,1,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,2
1,1,1,0,1,0,0,0,1,1,1,1,0
0,1,0,0,0,0,0,1,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,1,0,0,0,0,0,2
0,1,0,0,1,0,0,1,0,0,0,0,0
1,1,1,1,1,0,1,0,1,1,1,1,1
0,1,0,0,1,0,0,1,0,0,0,0,0
1,1,1,1,1,1,1,0,1,1,1,0,0
0,1,1,1,0,0,1,0,1,1,1,1,0
1,1,1,1,1,0,1,0,1,1,1,0,0
1,1,1,0,1,0,0,1,1,1,1,0,1
0,1,0,0,1,0,0,0,1,1,0,1,1
1,1,1,0,1,0,0,1,1,1,1,1,1
0,1,0,0,0,0,0,0,0,0,1,0,1
1,1,1,0,1,0,0,0,1,0,1,1,0
1,1,1,0,1,0,0,0,1,1,0,0,1
1,1,0,0,0,0,0,1,0,0,1,0,1
1,1,0,0,1,0,0,1,1,1,0,0,0
0,0,0,1,1,0,1,1,0,0,0,1,2
1,1,0,0,0,0,0,1,0,0,1,0,1
1,1,0,0,0,0,0,1,0,0,1,0,0
1,1,0,0,1,0,0,1,0,0,1,0,0
1,1,1,0,1,0,0,1,0,1,1,0,1
0,1,0,0,1,0,0,1,1,0,0,0,2
1,1,1,0,1,0,0,0,0,1,1,1,1
1,1,1,0,1,0,0,0,1,1,1,1,1
1,1,0,0,0,0,0,1,0,0,0,0,0
0,1,0,0,0,0,0,1,0,0,1,0,1
1,1,1,0,0,0,0,0,1,0,1,1,0
0,0,0,1,0,0,1,0,0,0,0,1,0
1,1,1,1,1,0,1,0,1,1,0,1,2
0,0,0,0,1,0,0,1,0,0,0,0,0
0,1,1,1,0,0,1,1,1,0,1,1,1
1,1,0,0,0,0,0,0,0,0,1,1,1
0,1,0,0,1,0,0,0,1,0,0,1,0
1,1,0,1,0,0,1,0,1,0,1,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,0,0,1,0,0,0,1,1,1
0,1,1,0,0,0,0,1,1,0,1,0,0
0,1,0,0,1,0,0,1,0,0,0,0,1
1,1,1,1,1,0,1,1,1,1,1,1,0
0,1,0,0,1,0,0,0,1,0,0,1,0
1,0,0,0,1,0,0,0,0,0,0,0,0
0,1,0,1,1,0,1,1,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0
1,1,1,1,1,0,1,0,1,1,1,1,1
1,1,0,1,1,0,1,0,0,0,0,0,1
1,1,1,0,1,0,0,1,1,1,1,0,2
0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,1,0,1,0,0,1,1,1,1,0,0
0,1,0,1,0,0,1,0,0,0,1,0,1
0,1,0,0,1,0,0,0,0,1,0,0,1
0,0,0,1,0,0,1,0,0,0,0,0,1
1,1,0,0,1,0,0,1,0,0,0,0,1
0,1,1,0,0,0,0,1,1,0,1,0,1
0,0,0,0,0,0,0,1,0,0,0,0,2
0,1,1,1,0,0,1,1,1,1,1,1,2
0,1,1,1,0,0,1,1,1,1,0,1,2
1,1,1,1,1,0,1,1,0,0,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,1,1,0,1,1,1,1
0,1,0,0,1,0,0,1,0,0,0,0,0
0,1,0,0,1,0,0,1,0,1,0,0,1
0,1,1,1,0,0,1,0,1,1,0,1,2
1,1,1,0,1,0,0,1,1,1,1,0,1
0,1,1,0,1,0,0,1,0,0,1,0,1
1,1,1,1,1,0,1,0,1,1,1,0,1
1,1,1,1,1,0,1,1,1,1,0,0,0
0,1,0,0,1,0,0,1,1,1,0,0,0
1,1,1,0,1,0,0,1,1,0,1,0,0
1,1,1,0,1,0,0,0,1,1,0,0,1
0,1,0,0,1,0,0,1,0,0,0,0,0
1,1,1,0,1,0,0,1,1,1,1,0,0
0,1,1,1,1,0,1,1,1,1,0,0,0
1,1,1,1,1,0,1,0,1,1,0,1,0
0,1,0,0,1,0,0,0,1,0,0,1,1
0,1,1,0,1,0,0,0,1,1,0,1,0
0,1,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,1,2
0,1,0,0,0,0,0,1,0,0,1,0,1
1,1,0,0,0,0,0,0,0,0,0,1,1
1,1,1,1,1,0,1,1,1,1,1,1,1
0,1,0,0,1,0,0,0,1,0,0,1,0
0,1,1,1,1,0,1,1,1,1,0,0,2
0,1,0,0,0,0,0,0,0,0,0,1,0
1,1,1,0,1,0,0,0,0,1,1,0,1
0,0,0,0,1,0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,1,0,0,0,0,0
0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,0,2
0,1,1,1,1,0,1,0,1,1,0,0,2
1,1,0,1,1,0,1,1,0,0,0,0,1
1,1,1,1,1,0,1,0,1,1,1,0,0
0,1,0,0,0,0,0,0,0,0,1,0,1
1,1,1,0,1,0,0,1,1,1,1,0,0
1,1,0,0,1,0,0,1,0,0,1,0,1
0,1,1,0,1,0,0,0,1,1,1,1,1
1,1,1,0,1,0,0,1,0,1,1,0,1
1,1,1,0,1,0,0,1,1,1,1,0,0
1,1,1,0,1,0,0,1,1,0,1,0,1
1,1,1,0,1,0,0,1,0,0,1,0,1
0,1,0,0,1,0,0,0,1,0,0,1,0
0,1,0,0,1,0,0,0,1,0,0,1,0
0,1,0,0,1,0,0,0,1,0,0,1,0
